제목,평점,스토리작가,그림작가,업데이트 년도,형식,장르,이용가,요약,태그,조회순
선녀야 야옹해봐!,9.8,햄톨탱크,햄톨탱크,2020,스토리,로맨스,전체연령가,사랑 인연을 이어주기 위해 지상에 온 선녀 초미.톱스타 강수에게 냥줍을 당하다..!!,"로맨스,완결로맨스",1023
나의 첫번째 새벽,9.94,신매,신매,2020,스토리,감성,전체연령가,"아빠의 갑작스런 죽음 이후로 후회와 죄책감에 살던 이슬. 그녀 앞에 하늘을 나는 소년이 나타났다. ""너에게 작은 용기를 줄게.""","감성,완결감성",1024
지구식 구원자 전형,9.67,하정수,외투,2022,스토리,판타지,15세 이용가,지구의 폐쇄 안내와 게이트를 통해 등장하는 끔찍한 존재들.인간의 존엄이 짓밟히는 파멸 속에서 세상을 구하려는 '구원자' 박정우의 일대기가 시작된다.,"판타지,소설원작,완결판타지",1025
여기 악마가 있어,9.89,맷집왕,맷집왕,2021,스토리,드라마,전체연령가,"게임회사의 인사팀에서 일하게 된 1년 차 직장인 조승훈.인간의 모습을 한 악마 상사와 함께 회사를 급성장시키게 되는데…성장의 이면에 있는 악마의 진짜 목표는 무엇이며, 이를 깨달은 인간은 과연 어떤 선택을 하게 될 것인가.","드라마,완결드라마",1026
뱀은 꽃을 먹는가,9.81,소나음,소나음,2022,스토리,로맨스,12세 이용가,"폭군 황제가 다스리는 황궁.​천재 악사 하랑은 황제가 끔찍이도 아끼는 꽃, 애화의 전속 악사로 부름 받는다.그러나 황제는 하랑이 애화의 얼굴을 보는 것조차 용납할 수 없었다.""이제는 아무 것도 담아서는 안 되는 저 눈을… 뽑아라!""하랑은 저열한 욕망으로 자신의 눈을 멀게 만든, 황제와 애화에게 복수를 결심하는데…….","동양풍판타지,복수극,로맨스,완결로맨스",1027
인간의 온도,9.91,이재익,양세준,2021,스토리,드라마,15세 이용가,형사와 기자 그리고 이상한 소년.일어나선 안 될 사건들.진실을 향한 치열한 추적이 시작된다.,"드라마,완결무료,완결드라마",1028
도자기,9.77,호연,호연,2007,에피소드,드라마,전체연령가,어렵다고 느끼는 우리의 문화재를 현대적인 감수성으로 술술 풀어낸 호연 작가님의 세계!오늘의 도자기는 무엇을 품고 있을지 함께 상상해보세요.,"드라마,완결무료,완결드라마",1029
당신의 여자가 되고 싶어요,9.37,팀아가페,별규,2022,스토리,로맨스,12세 이용가,"성하윤 마음 속 갖고싶은 남자 1위, 문신휘!다정하지만 연애에 있어서 만큼은 철벽남 신휘를 얻기 위한계략녀 하윤의 맹랑 발칙한 계획들이 펼쳐진다.생각은 짧게. 행동은 빠르게!철옹성을 함락하기 위한 고군분투 로맨스","로맨스,소설원작,완결로맨스",1030
MY OH,9.96,박카린,박카린,2015,스토리,드라마,전체연령가,전혀 다른 세 명의 음악 바보들로 오케스트라를 만들기 위한 프로젝트!이들과 함께 하는 신나는 캠퍼스 라이프!,"드라마,완결드라마",1031
힘내요 일본!-[릴레이웹툰],6.98,웹툰작가,웹툰작가,2011,에피소드,일상,전체연령가,네이버 웹툰작가들이 지진해일로 어려운 상황을 맞은 일본을 응원합니다.,"일상,완결무료,완결일상",1032
예쁜 사나이,9.94,영원,영원,2022,스토리,드라마,전체연령가,"무시무시한 외모와 강한 완력. 공포와 두려움을 주는 존재. 남자 중의 남자 '상남자'로 불리는 ‘노다지’ 하지만 속마음은 누구보다도 친구들과 잘 지내고 싶은 평범한 고등학생일 뿐! ​어느 날 예쁜 외모를 뽐내는 '영기'가 전학을 오게 되고, 인기폭발인 그 모습에 무릎을 탁 아니 쾅! 치게 되는데… 과연 다지는 편견과 선입견에 맞서 예뻐질 수 있을 것인가?!","유료화임박,학원물,성장드라마,드라마,완결무료,완결드라마",1033
개미,9.8,재희,재희,2020,스토리,스릴러,15세 이용가,우리의 발 밑에 그들이 살고있다.,"2019 지상최대공모전,스릴러,완결스릴러",1034
히트포인트,9.62,민형,여강현,2022,스토리,판타지,15세 이용가,"교통사고 이후 심장통을 앓던 소년 ‘하온빛’은 어느 날 찾아온 괴한들에게 죽는 꿈을 꾼다.꿈이었다는 안도감도 잠시, 방금 전 꿨던 꿈에서와 똑같은 일들이 벌어지고 괴한들을 피해 도망치던 온빛은 깨닫게 된다.자신의 심장에 모든 것을 파괴하는 죽음의 무기가 들어있음을.",판타지,1035
불발소년,9.89,곤세,곤세,2021,에피소드,드라마,전체연령가,"킬러소년 민준, 소녀를 만나고 삶이 달라지다어렸을 때부터 프로 킬러로 교육받고 자란 민준은 어느날 수학여행에서 한 소녀를 만나게 되고 감정이 없는 그에게 감정이라는 것이 자라나기 시작한다.","드라마,완결드라마",1036
모텔 304호,9.64,이말랭,이말랭,2022,스토리,스릴러,15세 이용가,"취직 면접을 위해 서울로 상경한 '우연',  하룻밤을 묵게 된 고급스러운 모텔의 액자 뒤에서 건너편 방이 보이는 매직미러를 발견한다. 게다가 그곳에 있던 건 국민 걸그룹 릴리즈의 멤버 '수진'. 경찰에 신고하려던 찰나, 수진의 방에 정체불명의 남자가 찾아와 그녀에게 서슬퍼런 칼을 들이민다.일촉즉발의 상황 우연은 수진의 방, 304호로 달려간다.",스릴러,1037
레드카펫,9.91,임진국,임진국,2014,스토리,드라마,18세 이용가,"'그린보이' 임진국 작가의 신작 잔혹 스릴러,피로 물든 레드카펫.",,1038
독신마법사 기숙아파트,9.96,재윤,기르답,2022,스토리,로맨스,전체연령가,외교부 문관이 되어 상경한 평범한 아가씨 랑세는 어쩔 수 없는 사정으로 독신 마법사 기숙 아파트에 살게 된다.사고뭉치지만 순수하고 선한 마법사들과정이 넘치는 공무원 랑세의 시끌벅적한 하루하루!,"유료화임박,로맨스,소설원작,완결무료,완결로맨스",1039
기억흔적,9.77,브라보장,브라보장,2021,스토리,스릴러,15세 이용가,사랑하는 가족을 잃은 남자.가족을 살리기 위한 처절한 시간 여행이 시작된다.,"타임슬립,스릴러,완결스릴러",1040
호곡,9.06,김대훈,김대훈,2020,스토리,판타지,12세 이용가,'이제 우리 차례야'조선의 왕 '천군'이 사라지고 3년 뒤...한 소녀가 나타나다.,"판타지,완결판타지",1041
즐거우리 우리네 인생,9.79,현이씨,현이씨,2022,옴니버스,일상,전체연령가,즐거우리 우리네 인생,"일상,완결일상",1042
새와 같이,9.95,후은,후은,2014,스토리,판타지,전체연령가,당신의 삶에서 가장 소중한 것은 무엇인가요?<별의 유언> 후은 작가 신작,"판타지,완결판타지",1043
시간의 섬,9.8,이아,이아,2014,스토리,판타지,12세 이용가,"신비한 섬, 각기 다른 14명의 인물들이 들려주는 따뜻한 이야기",판타지,1044
콘스탄쯔 이야기,9.93,김민정,김민정,2012,스토리,드라마,15세 이용가,"바로 지금, 여기 이 곳에서 벌어지는, 새로운 삶을 향한 몸부림
긴 터널의 끝에서 그녀를 기다리고 있는 것은 무엇일까.생존을 위한 그녀의 몸부림을 담은 팩션 다큐멘터리.","드라마,완결무료,완결드라마",1045
피노키오 소녀,9.77,망순,망순,2021,스토리,스릴러,18세 이용가,"다시 돌아온 고향. 그리고 이곳에서 일어나는 원인 불명의 실종사건. ""이것은 공포 웹툰이 아니다."" 그녀의 거짓말을 믿지 마세요...",,1046
버퍼링,9.94,최홍준,최홍준,2015,스토리,판타지,15세 이용가,언제부터인가...시간의 흐름에 문제가 생겼다,"판타지,완결판타지",1047
일상이 무너졌다,9.67,승한,예림,2022,스토리,스릴러,12세 이용가,"""살려주세요! 이 사람한테 납치 당했어요!""헤드폰 너머, 같이 게임하던 형의 마이크에서 낯선 여자의 목소리가 들려왔다.평범한 고등학생 ‘정혜성’ 어느 날 납치 사건에 휘말려 일상이 무너지기 시작한다!","2021 지상최대공모전,스릴러,완결스릴러",1048
정보전사 202,9.3,이작가,이작가,2021,스토리,액션,12세 이용가,간첩 202호! 작전명 한라혈통!관종의 임무를 완수하고 자유를 얻어라.,"액션,완결액션",1049
하루,9.82,오늘,오늘,2020,스토리,로맨스,전체연령가,"첫사랑에 실패한 복학생 진우, 연애를 다신 안 하겠다고 다짐한다.드디어 복학 첫 날, 어쩐지 마음이 끌리는 교환학생 일본인 하루를 도와주면서 친해지게 되고, 전여친 차희연을 마주한다.","로맨스,완결로맨스",1050
거미,9.9,모아이,모아이,2020,스토리,스릴러,15세 이용가,거미 떼로 뒤덮인 섬마을.의심의 거미줄 속에서 그녀는 탈출할 수 있을까?,"스릴러,완결스릴러",1051
내 룸메이트는 마네킹,9.91,서이,서이,2022,스토리,로맨스,전체연령가,"인간이 되고 싶은 마네킹 '도윤', 우연한 기회에 인형 공포증에 시달리는 '지호'와 만나 룸메이트가 된다. 도윤은 인간이 되고 지호는 트라우마를 극복해야만 한다. 두 남녀의 기묘한 동거는 성.공.적?!","로맨스,완결로맨스",1052
블랙 위도우,9.88,마크웨이드,크리스샘니,2021,스토리,액션,12세 이용가,"MCU 페이즈4의 시작, 강렬한 액션을 원작으로!전직 KGB 킬러, S.H.I.E.L.D. 요원, 어벤저스 멤버였던 나타샤 로마노프.과거에 남긴 발자국이 그녀를 찾아온다.‘울보 사자’라 불리는 악당이 텔레파시 능력을 이용해 블랙 위도우를 협박하고,암살자 양성 기관 레드 룸 잔당은 새로운 학교를 설립해 또 다른 소녀들을 훈련시키고 있었다.위도우는 허락할 수 없다…. 자신과 같은 운명의 소녀들이 세상에 또 만들어지는 것을!","히어로,액션,완결액션",1053
함부로 대해줘,9.9,선우,선우,2021,스토리,로맨스,전체연령가,지금도 조선시대는 이어지고 있다?!성산마을에서 온 철벽남 제자 신윤복과 저돌적인 직진녀 스승 김홍도의 본격 디펜스 로맨스.,"로맨스,완결로맨스",1054
"나를 길들여 봐, 차비서",9.32,홍주,글쓰는귀신,2022,스토리,로맨스,15세 이용가,"개망나니 재벌2세를 사람 만들면 3억을 받는다!뛰어난 외모와 우월한 피지컬을 가졌지만 망나니처럼 행동하는재벌2세 강주원을 간신히 사람 구실하게 만들어놨더니,나 좋다고 달려드니 이를 어째!돈만을 위해 악착같이 살아온 차영애는 3억과 사랑 사이에서갈피를 잡기 어렵다.","로맨스,소설원작,완결로맨스",1055
호수의 인어,9.95,박새,박새,2022,스토리,로맨스,12세 이용가,"수영선수를 꿈꾸는 담영은 대회를 앞두고 희소병이 재발한다.하지만 담영은 대회를 포기하지 못하고 학교에서 도둑 수영으로 훈련을 이어간다.그러던 어느 날 전학생 해수에게 도둑 수영을 들키게 되고, 담영은 해수의 비밀을 알게 된다.이후 담영과 해수는 서로의 비밀을 이용해 은밀한 계약 관계를 맺는다.","로맨스,완결무료,완결로맨스",1056
시노딕,9.93,현욱,현욱,2020,스토리,판타지,15세 이용가,달이 사라진 세계사냥꾼과 괴물의 이야기,"판타지,완결판타지",1057
취향 소개소,9.95,이다몽,이다몽,2022,스토리,로맨스,전체연령가,"<머리카락을 뽑으면!> 이다몽 작가의 신작!캠퍼스 로망따윈 멀리 던진 채, 고학점과 효율적인 시간관리를 최우선으로 여기는 자발적 아싸 김주연. 새학기를 맞아 학점얻기 쉬운 꿀 교양이라는  <즐거운 힐링라이프>를 수강하지만, 주연은 첫 과제부터 1점 처리를 당할 위기에 놓인다.마땅한 취미도 없고 본인의 취향도 딱히 없는 무색무취 주연은 교수의 권유로 <취향 소개소>라는 정체 모를 곳을 방문하게 되는데...주연이 앞에 나타난 수상한 동아리, <취향 소개소>. 당신이 좋아할 만한 다양한 취향을 소개해드립니다!","로맨스,완결로맨스",1058
샹치,7.97,진루엔양,다이크루언,2021,스토리,액션,12세 이용가,"지도자 젱 주의 죽음 이후 모습을 드러내지 않았던 사악한 고대 비밀 집단.하지만 힘의 균형을 맞추기 위해 그 후계자가 정해졌으니,바로 젱 주의 아들… 샹치다! 평탄치 않은 가족 재결합을 통해 샹치는자신에게 있는지도 몰랐던 형제자매의 존재를 알게 되는데,과연 믿어야 하는 이는 누구이며 그를 죽이려는 자는 누구인가?샹치는 목숨을 걸고 힘겹게 진실에 다가설 것이다.그런데 샹치를 구할 수 있는 사람이… 아버지라니? 그자는 죽은 것 아니었던가?!","액션,완결액션",1059
유리와 유리와 유리,9.97,요엔,요엔,2022,스토리,로맨스,전체연령가,"금속공예학과 새내기 이유리는 자신의 고백을 거절했던 미술학원 선생님 권유리를 마주친다. 그리고 같은 과의 또다른 동명이인, 무뚝뚝하기로 소문난 차유리 선배는 유독 이유리에게 도움을 주는 일이 많아지는데...세 명의 유리가 만들어 나가는 삼각관계 캠퍼스 로맨스!","로맨스,완결로맨스",1060
"찬란하지 않아도 괜찮아, 새벽",9.97,까마중,까마중,2021,에피소드,드라마,전체연령가,"대학 졸업 후 3년, 스물일곱이 된 '찬란'. 문화기자로 활동하며 오랜 연인 '도래'와 연애를 이어나가고 있다.모든 게 괜찮은 듯 보이지만, 불쑥불쑥 삶을 위협하는 상처의 조각들.밤이 지나면 아침이 오는 줄 알았는데, 아직은 안개 낀 새벽을 지나야 한다.여전히 찬란하지 않아도 사랑하고, 살아가는 찬란이의 일상 고백록.","드라마,완결드라마",1061
